UK LTD Registration — Top 10 Countries by Impressions (Google Search Console)
Rank,Country,Impressions,Clicks,CTR,Pct of Total
1,Pakistan,33431,26,0.08%,70.9%
2,United Kingdom,9918,8,0.08%,21.0%
3,United States,2091,2,0.10%,4.4%
4,India,434,0,0.00%,0.9%
5,Australia,434,0,0.00%,0.9%
6,United Arab Emirates,250,0,0.00%,0.5%
7,Bangladesh,200,0,0.00%,0.4%
8,Canada,183,0,0.00%,0.4%
9,Germany,183,0,0.00%,0.4%
10,France,77,0,0.00%,0.2%
Notes: Country data from Google Search Console geo report.
Pakistan dominates at 71% — primary market. UK and USA are secondary.
Zero-click countries represent missed opportunities — content/localization needed.
Data source: Google Search Console, last 28 days.
